Timestamp,Gender,Age (Years),Races,Faculty,Year Of Study,Relationship Status,With whom you are living with?,What is your monthly Family Income?,  Do you have meritorious scholarship ?  ,  Average attendance on class (Percentage )  ,Have you ever had to repeat any courses/subjects?,Did you ever got suspension?  ,Do you attend in teacher consultancy for any kind of academical problems?  ,What was your previous GPA?  ,What was your previous CGPA?  ,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?  ,What is your preferable learning mode?  ,Do you use University transportation?  ,Do you use smart phone?  ,Do you have personal Computer?  ,How many hour do you spent daily in social media? (Hours)  ,Status of your English language proficiency  ,What are the skills do you have ?  ( example : Programming),How many hour do you spent daily on your skill development? (Hours )  ,What is you interested area?  ( example: Artificial Intelligence ),Are you engaged with any co-curriculum activities?  ,Do you have any health issues?  ,Do you have any physical disabilities?  
11/9/2025 16:36:41,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Friends,"RM 1,501 - RM3,000",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Communication,2 - 3 hours,Data Analytics,No,No,No
11/10/2025 14:09:21,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,In a relationship,Friends,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,< 1 times,Hybrid,Yes,Yes,Yes,4 - 5 hours,Basic,Programing ,< 1 hours,Data Science,No,No,No
11/11/2025 15:11:43,Male,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Friends,"> RM12,000",No,81% - 100%,No,No,No,2.50 – 2.99,3.00 – 3.69,5 – 6 hours,3 times,Offline,No,Yes,Yes,< 1 hours,Intermediate,programming,> 6 hours,Artificial Intelligence ,Yes,Yes,No
11/11/2025 15:14:31,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,Yes,No,Yes,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Hybrid,Yes,Yes,Yes,> 6 hours,Intermediate,Programming,> 6 hours,Artificial intelligence and web development,Yes,Yes,No
11/11/2025 15:19:54,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Friends,"RM3,001 - RM5,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.00 – 3.69,3 – 4 hours,< 1 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,"Programming, Video Editing",2 - 3 hours,"Artificial Intelligence, IoT, Gaming",No,No,No
11/11/2025 15:23:04,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 1,Single,In hostel,"RM3,001 - RM5,000",Yes,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,> 5 times,Hybrid,No,Yes,Yes,2 - 3 hours,Intermediate,Programming ,< 1 hours,AI,No,No,No
11/11/2025 15:24:11,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Friends,"RM8,001 - RM12,000",No,81% - 100%,No,Yes,Yes,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,2 times,Offline,No,Yes,Yes,4 - 5 hours,Intermediate,Programming,2 - 3 hours,Data Analytics,Yes,Yes,Yes
11/11/2025 15:25:36,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Family,"< RM1,500",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,3 times,Offline,No,Yes,Yes,< 1 hours,Basic,Basic skill programming,2 - 3 hours,AI,No,No,No
11/11/2025 15:26:27,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Friends,"< RM1,500",No,81% - 100%,No,No,No,3.70 - 4.00,3.00 – 3.69,< 1 hour,< 1 times,Hybrid,No,Yes,Yes,> 6 hours,Intermediate,Programming,2 - 3 hours,data analytics ,No,No,No
11/11/2025 15:27:57,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,In a relationship,Friends,"< RM1,500",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,2 times,Offline,No,Yes,Yes,4 - 5 hours,Basic,Programming and Designing,4 - 5 hours,Artificial Intelligence ,Yes,Yes,No
